,waktu,id,username,teks,text,WordToken,SentToken,WordLemma
0,2021-10-12 23:54:17,1448074574076256258,Kedirifess,cah info vaksin sinovac dosis 2 suwun,cah info vaksin sinovac dosis 2 suwun,"['cah', 'info', 'vaksin', 'sinovac', 'dosis', '2', 'suwun']",['cah info vaksin sinovac dosis 2 suwun'],"['cah', 'info', 'vaksin', 'sinovac', 'dosis', '2', 'suwun']"
1,2021-10-12 23:50:00,1448073497423532034,BASE JEMBER,jbrfess rek info vaksin dosis 2 sinovac dong makasih ya sebelumnya,jbrfess rek info vaksin dosis 2 sinovac dong makasih ya sebelumnya,"['jbrfess', 'rek', 'info', 'vaksin', 'dosis', '2', 'sinovac', 'dong', 'makasih', 'ya', 'sebelumnya']",['jbrfess rek info vaksin dosis 2 sinovac dong makasih ya sebelumnya'],"['jbrfess', 'rek', 'info', 'vaksin', 'dosis', '2', 'sinovac', 'dong', 'makasih', 'ya', 'sebelumnya']"
2,2021-10-12 23:34:57,1448069710457810949,M. Alviansyah,  who penerima vaksin sinovac di atas 60 tahun harus dapat booster ,  who penerima vaksin sinovac di atas 60 tahun harus dapat booster ,"['who', 'penerima', 'vaksin', 'sinovac', 'di', 'atas', '60', 'tahun', 'harus', 'dapat', 'booster']",['  who penerima vaksin sinovac di atas 60 tahun harus dapat booster'],"['who', 'penerima', 'vaksin', 'sinovac', 'di', 'atas', '60', 'tahun', 'harus', 'dapat', 'booster']"
3,2021-10-12 23:33:26,1448069330684493824,Lia Safitri, hari ini ada vaksin si sinovac dosis 1 dan 2 di pasar alam vida, hari ini ada vaksin si sinovac dosis 1 dan 2 di pasar alam vida,"['hari', 'ini', 'ada', 'vaksin', 'si', 'sinovac', 'dosis', '1', 'dan', '2', 'di', 'pasar', 'alam', 'vida']",[' hari ini ada vaksin si sinovac dosis 1 dan 2 di pasar alam vida'],"['hari', 'ini', 'ada', 'vaksin', 'si', 'sinovac', 'dosis', '1', 'dan', '2', 'di', 'pasar', 'alam', 'vida']"
4,2021-10-12 23:21:32,1448066334072315906,🇲🇾 RM 🇲🇾,  siapa yang ambil sinovac masih dikategorikan sebagai unvaccinated daripada government uk yaa still kena kuarantin 10 daysxe2x80xa6,  siapa yang ambil sinovac masih dikategorikan sebagai unvaccinated daripada government uk yaa still kena kuarantin 10 daysxe2x80xa6,"['siapa', 'yang', 'ambil', 'sinovac', 'masih', 'dikategorikan', 'sebagai', 'unvaccinated', 'daripada', 'government', 'uk', 'yaa', 'still', 'kena', 'kuarantin', '10', 'daysxe2x80xa6']",['  siapa yang ambil sinovac masih dikategorikan sebagai unvaccinated daripada government uk yaa still kena kuarantin 10 daysxe2x80xa6'],"['siapa', 'yang', 'ambil', 'sinovac', 'masih', 'dikategorikan', 'sebagai', 'unvaccinated', 'daripada', 'government', 'uk', 'yaa', 'still', 'kena', 'kuarantin', '10', 'daysxe2x80xa6']"
5,2021-10-12 23:12:43,1448064115872727045,mimi25 effendi,  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6,  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6,"['kerabat', 'lansia', '70th', 'tiba2', 'batuk', 'berdarah', 'amp', 'lemas', 'dibawa', 'ke', 'rs', 'amp', 'opname', 'disana', 'yg', 'harusnya', 'bpjs', 'klas', '1', 'jadi', 'di', 'kls', '3', 'krn', 'rwatxe2x80xa6']",['  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6'],"['kerabat', 'lansia', '70th', 'tiba2', 'batuk', 'berdarah', 'amp', 'lemas', 'dibawa', 'ke', 'r', 'amp', 'opname', 'disana', 'yg', 'harusnya', 'bpjs', 'klas', '1', 'jadi', 'di', 'kls', '3', 'krn', 'rwatxe2x80xa6']"
6,2021-10-12 23:10:13,1448063485351321605,Huda Athorik,efikasi vaksinasi  astra  64  sinovac  65  moderna  65  pfizeer  95  roso iki kangge sampeyan  raono  watesane,efikasi vaksinasi  astra  64  sinovac  65  moderna  65  pfizeer  95  roso iki kangge sampeyan  raono  watesane,"['efikasi', 'vaksinasi', 'astra', '64', 'sinovac', '65', 'moderna', '65', 'pfizeer', '95', 'roso', 'iki', 'kangge', 'sampeyan', 'raono', 'watesane']",['efikasi vaksinasi  astra  64  sinovac  65  moderna  65  pfizeer  95  roso iki kangge sampeyan  raono  watesane'],"['efikasi', 'vaksinasi', 'astra', '64', 'sinovac', '65', 'moderna', '65', 'pfizeer', '95', 'roso', 'iki', 'kangge', 'sampeyan', 'raono', 'watesane']"
7,2021-10-12 23:09:32,1448063315804975104,RUWAIBIDHAH,  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6,  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6,"['kerabat', 'lansia', '70th', 'tiba2', 'batuk', 'berdarah', 'amp', 'lemas', 'dibawa', 'ke', 'rs', 'amp', 'opname', 'disana', 'yg', 'harusnya', 'bpjs', 'klas', '1', 'jadi', 'di', 'kls', '3', 'krn', 'rwatxe2x80xa6']",['  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6'],"['kerabat', 'lansia', '70th', 'tiba2', 'batuk', 'berdarah', 'amp', 'lemas', 'dibawa', 'ke', 'r', 'amp', 'opname', 'disana', 'yg', 'harusnya', 'bpjs', 'klas', '1', 'jadi', 'di', 'kls', '3', 'krn', 'rwatxe2x80xa6']"
8,2021-10-12 23:08:02,1448062936618979332,Zulaikha,  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6,  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6,"['kerabat', 'lansia', '70th', 'tiba2', 'batuk', 'berdarah', 'amp', 'lemas', 'dibawa', 'ke', 'rs', 'amp', 'opname', 'disana', 'yg', 'harusnya', 'bpjs', 'klas', '1', 'jadi', 'di', 'kls', '3', 'krn', 'rwatxe2x80xa6']",['  kerabat lansia 70th tiba2 batuk berdarah amp lemas dibawa ke rs amp opname disana yg harusnya bpjs klas 1 jadi di kls 3 krn rwatxe2x80xa6'],"['kerabat', 'lansia', '70th', 'tiba2', 'batuk', 'berdarah', 'amp', 'lemas', 'dibawa', 'ke', 'r', 'amp', 'opname', 'disana', 'yg', 'harusnya', 'bpjs', 'klas', '1', 'jadi', 'di', 'kls', '3', 'krn', 'rwatxe2x80xa6']"
9,2021-10-12 23:04:40,1448062090057424896,🦈 SUROBOYOFESS 🐊,rek kalau v d1 astra pas d2 sinovac oleh ta,rek kalau v d1 astra pas d2 sinovac oleh ta,"['rek', 'kalau', 'v', 'd1', 'astra', 'pas', 'd2', 'sinovac', 'oleh', 'ta']",['rek kalau v d1 astra pas d2 sinovac oleh ta'],"['rek', 'kalau', 'v', 'd1', 'astra', 'pa', 'd2', 'sinovac', 'oleh', 'ta']"
