waktu,id,username,teks
2021-10-12 23:54:17,1448074574076256258,Kedirifess,b'cah info vaksin sinovac dosis 2 suwun'
2021-10-12 23:50:00,1448073497423532034,BASE JEMBER,"b'/jbrfess/ rek info vaksin dosis 2 sinovac dong, makasih ya sebelumnya'"
2021-10-12 23:34:57,1448069710457810949,M. Alviansyah,b'RT @medcom_id: WHO: Penerima Vaksin Sinovac di Atas 60 Tahun Harus Dapat Booster https://t.co/itUtwkV5OV'
2021-10-12 23:33:26,1448069330684493824,Lia Safitri,"b'@txtmustikajaya Hari ini ada vaksin si sinovac dosis 1 dan 2 di Pasar Alam, Vida...'"
2021-10-12 23:21:32,1448066334072315906,🇲🇾 RM 🇲🇾,"b'RT @hazman92_: Siapa yang ambil Sinovac, masih dikategorikan sebagai unvaccinated daripada government UK yaa. Still kena kuarantin 10 days\xe2\x80\xa6'"
2021-10-12 23:12:43,1448064115872727045,mimi25 effendi,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 23:10:13,1448063485351321605,Huda Athorik,b'Efikasi vaksinasi :\nAstra : 64 %\nSinovac : 65 %\nModerna : 65 %\nPfizeer : 95 %\nRoso iki kangge sampeyan : RAONO  WATESANE'
2021-10-12 23:09:32,1448063315804975104,RUWAIBIDHAH,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 23:08:02,1448062936618979332,Zulaikha,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 23:04:40,1448062090057424896,🦈 SUROBOYOFESS 🐊,"b'-rek kalau v@ksin d1 astra, pas d2 sinovac oleh ta'"
2021-10-12 23:04:22,1448062012395712512,Mogaheed™®👀,"b'Vaksin AstraZeneca, Sinopharm dan Pfizer Disebut Haram, MUI: Untuk Sinovac Dinyatakan Halal - Sinar Jateng https://t.co/KIVHCIrmP8'"
2021-10-12 23:04:08,1448061956686893057,Raa 🌙 || gila pc wooyoung,b'@jjonghwastar Vaksin varian apa dulu? Kalau sinovac gak sakit. Asal dlm keadaan sehat gpp'
2021-10-12 23:02:35,1448061565706530820,mohon maaf lahir batin saudara2 ku,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 22:56:20,1448059991240232961,Koramil Sukodono Kodim 0725/Sragen,"b'Selasa, 12/10/ 2021  Koramil-13/ Sukodono di pimpin Danramil Kapten Inf Masta Hari Yudha brsm Babinsa dan Nakes Pus\xe2\x80\xa6 https://t.co/wmZkRLVxHP'"
2021-10-12 22:53:54,1448059378884497414,KIP 🐪🐪🐪,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 22:47:24,1448057746117447680,Alpha Zenyth,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 22:40:26,1448055991237419008,#⃝not,"b'Apalagi masalah admnya. Gak sedikit org yg ikut vaksin awal awal sinovac itu, langsung dpt bukti kartu vaksin. Kare\xe2\x80\xa6 https://t.co/zK1ujJKj19'"
2021-10-12 22:30:21,1448053453905805315,FalNdaru,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 22:17:53,1448050317640101889,Benyamin Mendes,"b'RT @jeparakabgoid: Vaksinasi Covid-19 untuk masyarakat Jepara Dosis 1 (AstraZeneca) &amp; Dosis 2 (Sinovac) pada Rabu s.d. Jumat, 13-15 Oktober\xe2\x80\xa6'"
2021-10-12 22:11:41,1448048756704759811,Ininissa,"b'Gimana mau dapat vaksin ptizer, kalau daftar vaksin beberapa waktu lalu aja spontan dadakan, yaudah takdir dapat si\xe2\x80\xa6 https://t.co/PuKJg5VlgR'"
2021-10-12 22:08:51,1448048041429114882,biji karet,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 22:02:44,1448046502413176832,darmajasa,"b'RT @DalamIstana: Bahkan kerangkeng china sampai pada tahap kemanusiaan, kalian gak ada yang curiga kenapa kita pake vaksin Sinovac? Di sing\xe2\x80\xa6'"
2021-10-12 21:56:51,1448045022499065860,super mario,b'@tynderfess Sama itu btw coronavac = sinovac'
2021-10-12 21:55:36,1448044707666223108,Dee,b'RT @e100ss: #SSInfo: Ada kegiatan vaksinasi Covid-19 di Lt. 5 Pasar Atom 11-13 Oktober 2021 pk. 08.00-14.00 WIB bekerja sama dengan RS Bhay\xe2\x80\xa6'
2021-10-12 21:43:06,1448041562022154240,‼️CEK PINNED‼️ - PATUHI RULES ⚠️,"b'\xf0\x9f\x9a\x80 Mau tanya dong, kan aku dosis pertama vaksin Cron4Vac terus mau dosis kedua Sinovac Itu boleh ga? Bantuu jawab ya\xe2\x80\xa6 https://t.co/UGns4srIv9'"
2021-10-12 21:16:20,1448034828251656192,Elmira,b'RT @renandabachtar: Pendatang Segera Bisa Masuk AS dengan Vaksin Apapun Asal Diakui WHO\n\nSinovac termasuk kah? https://t.co/uqWGROIYjw'
2021-10-12 21:15:32,1448034624613978113,bestie🍓 ACTOR JUNHOE,"b'Gue telat vaksin ke2 18 hariii gapapa gasii\xf0\x9f\x98\xad lupa soalnya pas vaksin pertama breng temen"" yg usia 18taun(astra) sdn\xe2\x80\xa6 https://t.co/akXwakHZFD'"
2021-10-12 21:07:12,1448032527931740161,Panutan,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 20:08:50,1448017840196390912,Saiful Hadi Ngapak 🇮🇩,"b'RT @KangCendol_33: Puanesia, Ketua Dewan Perwakilan Rakyat (DPR) Puan Maharani menyalurkan 10 ribu Vaksin Sinovac dan paket sembako untuk m\xe2\x80\xa6'"
2021-10-12 20:07:11,1448017426000408576,KODIM TIPE A 0832,b'Vaksinasi Sinovac Dosis 1 Dan 2 Di Balai RW Kelurahan Kupang Krajan\nhttps://t.co/smWTSc8MES'
2021-10-12 19:59:47,1448015561942650880,upi,b'@txtdrbekasi dosis 1&amp;2 astra sama sinovac di gor atau stadion patriot bekasi ada setiap hari ya kalo weekdays sampe\xe2\x80\xa6 https://t.co/Z8JWQGBBY1'
2021-10-12 19:56:56,1448014843055722498,Ary T Gunadi,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 19:40:11,1448010627742515201,Koran Tempo,b'Calon jemaah umrah wajib menjalani vaksinasi Covid-19 secara lengkap. Bagi calon jemaah yang sudah menerima vaksin\xe2\x80\xa6 https://t.co/YyqYPPQITI'
2021-10-12 19:21:11,1448005849671081986,fynda afandi,"b'RT @DalamIstana: Bahkan kerangkeng china sampai pada tahap kemanusiaan, kalian gak ada yang curiga kenapa kita pake vaksin Sinovac? Di sing\xe2\x80\xa6'"
2021-10-12 19:10:59,1448003279821021186,Kamu siapa?,b'RT @girtumpuk: peduli lindungi \nhttps://t.co/NBJ6j9Ip6J'
2021-10-12 19:06:24,1448002129575104512,Claudia,b'@CommuterLine @st2pid_ Sinovac sama astrazeneca dosis 2 kah? Atau baru dosis 1 min?'
2021-10-12 18:46:27,1447997105478512641,oce,b'@kiddossup elu sini gue suntikin sinovac'
2021-10-12 18:34:41,1447994144916377602,#BERKAH_UNLIMITED,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 18:33:08,1447993754892349440,Praditya,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 18:11:44,1447988371339444224,dekaaa,b'@coba_coba_yekan kmu hrus vaksin sinovac 6 kali kayanya\xf0\x9f\x98\x81'
2021-10-12 17:57:54,1447984890394251267,Tello_gosong,"b'Asline aku ki Ultramen, tapi bar di vaksin Sinovac terus kekuatan ku ilang\n#sad https://t.co/qtw1Pu2s2u'"
2021-10-12 17:44:17,1447981462888673286,Tak ingin dikenal,"b'RT @adiharyoutomo: Siapa tau ada yang butuh sinovac \xf0\x9f\x98\x81\nSemoga masih dapat kuota, maklu maksimal 40/hari\n@infomalang @yusufgunawan https://t.\xe2\x80\xa6'"
2021-10-12 17:43:08,1447981173251002375,F Yahya B,b'@kumparan @KemenkesRI apakah sudah ada rencana dan jadwal Booster untuk Lansia terutama Vaksin Sinovac ternyata Efa\xe2\x80\xa6 https://t.co/nzqhVUipsd'
2021-10-12 17:39:59,1447980380892586002,MalaysiaInternet.my,"b'[Video] Penerima Sinovac boleh tunaikan umrah, cuma perlu dos\xc2\xa0ketiga https://t.co/EbLX67Ifuw https://t.co/rvgef1WwOX'"
2021-10-12 17:26:23,1447976956306231299,ian syah,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 17:25:50,1447976819815182337,Alif_OTB🔞,"b'RT @antaranews: Terkait konektivitas vaksinasi calon jamaah umrah Indonesia yang gunakan vaksin Sinovac, Kemenkes Arab Saudi akan berkoordi\xe2\x80\xa6'"
2021-10-12 17:18:56,1447975081947267086,sergio valech,b'@Isismahe Q bkn! Sinovac?'
2021-10-12 17:06:50,1447972039428431876,mana senyumnya coba liat,"b'@yuzskyy @bertanyarl Buat Sirnova, jangan sedih lagi ya, mungkin mereka manggil kamu sinovac karna mungkin suatu sa\xe2\x80\xa6 https://t.co/YLTHcANnpx'"
2021-10-12 16:59:51,1447970280303841280,cha ~ macha,b'@hendellate Lohh samaa biasanya padahal kalo sinovac pegel ngantuk ama laper ajaa\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
2021-10-12 16:57:15,1447969625602330625,✪𝗠𝗶𝗻𝘁ᵛ,b'@itsrainnyday yg sinovac'
2021-10-12 16:54:13,1447968861907656709,Sultan Asian Muhmer,b'Vaksin Sinovac disetujui Halal dan Aman https://t.co/QkXQn4mdAa'
2021-10-12 16:53:32,1447968689614057474, dennis דניס,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 16:53:10,1447968597653946378,Ratnowidianto48,b'@Cindygulla0 nama lengkap : cindy gulla \ntanggal vaksin:Lihat jadwal pertama\nnik: Lihat kk\njenis vaksin :contoh sin\xe2\x80\xa6 https://t.co/SnjDKnB9Oe'
2021-10-12 16:52:07,1447968335514124288,rita justifa,b'Para ulama  Aceh sepakat Vaksin Covid-19 Sinovac halal dan suci https://t.co/Bb42M4FMui'
2021-10-12 16:48:50,1447967508154118146,Araa^0^ || kinda ia😭,b'@hendellate katanya yg sinovac mau ditambahin moderna tpi skrng lg tenaga medis dlu'
2021-10-12 16:42:19,1447965869938671618,✪𝗠𝗶𝗻𝘁ᵛ,b'@dejunsauruss aku jg sinovac nih sumpah takut bgt \xf0\x9f\x98\xad'
2021-10-12 16:41:02,1447965545291128835,✪𝗠𝗶𝗻𝘁ᵛ,b'@catatantom klo aku sinovac sih cuma yg vaksin pertama efeknya sampe demam 2hran makanya takut bgt ini'
2021-10-12 16:40:17,1447965355368857601,P W S,b'RT @_leonSR_: Berbeda dengan jenis vaksin Sinovac yang diambil dari virus yang dimatikan/diinaktivasi.\nPerbedaan platform vaksin bisa menja\xe2\x80\xa6'
2021-10-12 16:37:20,1447964612389859332,yuz⁷⚡,"b'@ututuuututututt @bertanyarl Jd keinget adekku yg curhat ke aku, dia di bully gara\xc2\xb2 namanya sirnova tp diplesetin ama temnya jd sinovac :('"
2021-10-12 16:31:28,1447963138041602049,Ayo Vaksin 🇵🇸🇲🇨 #freePalestine,b'RT @iic_a: https://t.co/sRJCzhwkO7  \n\nWHO menyarankan adanya dosis ketiga (sbg bagian dari vaksinasi dasar - bukan booster) untuk vaksin be\xe2\x80\xa6'
